"trust_promise","male","age","edu","unemployed","rural","political_know","cntry","country_year","year"
2,2,32,12,1,2,,"AR","AR-2006",2006
2,1,26,8,-11,2,3,"AR","AR-2006",2006
2,2,36,4,1,2,2,"AR","AR-2006",2006
2,1,44,9,1,2,4,"AR","AR-2006",2006
2,2,49,7,-11,2,3,"AR","AR-2006",2006
1,2,29,18,-11,2,4,"AR","AR-2006",2006
2,2,30,15,-11,2,4,"AR","AR-2006",2006
4,2,60,12,1,2,5,"AR","AR-2006",2006
3,1,19,12,-11,2,3,"AR","AR-2006",2006
1,2,30,11,-11,2,2,"AR","AR-2006",2006
2,1,47,12,-11,2,5,"AR","AR-2006",2006
2,2,34,10,-11,2,3,"AR","AR-2006",2006
2,2,65,7,1,2,3,"AR","AR-2006",2006
2,1,32,18,-11,2,3,"AR","AR-2006",2006
2,1,40,10,-11,2,3,"AR","AR-2006",2006
